Año,Trimestre,Provincia,Accesos por cada 100 hogares,Rango
2018,1,San Luis,15.14879034827491,"(10, 20]"
2018,1,Santa Cruz,33.55275989857616,"(30, 40]"
2018,1,Santa Fe,62.28199844300957,"(60, 70]"
2018,1,Santiago Del Estero,34.9882694482421,"(30, 40]"
2018,1,Tierra Del Fuego,65.19963702359347,"(60, 70]"
2018,1,Tucumán,41.176009388866156,"(40, 50]"
2017,4,Buenos Aires,57.609615290258205,"(50, 60]"
2017,4,Capital Federal,122.89742418734991,
2017,4,Catamarca,28.620950093924897,"(20, 30]"
2017,4,Chaco,30.808158111236537,"(30, 40]"
2017,4,Chubut,51.46309626749354,"(50, 60]"
2017,4,Córdoba,63.33262565207773,"(60, 70]"
2017,4,Corrientes,32.51511831118755,"(30, 40]"
2017,4,Entre Ríos,47.885245293746834,"(40, 50]"
2017,4,Formosa,21.270976689249718,"(20, 30]"
2017,4,Jujuy,22.742083716267025,"(20, 30]"
2017,4,La Pampa,71.04976106378558,"(70, 80]"
2017,4,La Rioja,51.56847440546175,"(50, 60]"
2017,4,Mendoza,33.32562553415048,"(30, 40]"
2017,4,Misiones,31.14218485379854,"(30, 40]"
2017,4,Neuquén,61.24232317785096,"(60, 70]"
2017,4,Río Negro,49.37562976824529,"(40, 50]"
2017,4,Salta,39.79624247145896,"(30, 40]"
2017,4,San Juan,30.29992919128174,"(30, 40]"
2017,4,San Luis,10.586731069754228,"(10, 20]"
2017,4,Santa Cruz,28.912492882806827,"(20, 30]"
2017,4,Santa Fe,61.7127712196729,"(60, 70]"
2017,4,Santiago Del Estero,29.126386109501063,"(20, 30]"
2017,4,Tierra Del Fuego,59.89413596263622,"(50, 60]"
2017,4,Tucumán,39.8968735176797,"(30, 40]"
2017,3,Buenos Aires,55.62938339533962,"(50, 60]"
